date_sent,slot,item_type,track,title,source_url,arxiv_or_doi,topic_tags,quality_label
2026-06-05,1,paper,mean_audio,AnyAudio-Judge: A Dynamic Rubric-Based Benchmark and Evaluator for Audio Instruction Following,https://arxiv.org/abs/2606.03116v1,2606.03116v1,text-to-audio/music|caption/data|evaluation,新
2026-06-05,2,paper,mean_audio,UNISON: A Unified Sound Generation and Editing Framework via Deep LLM Fusion,https://arxiv.org/abs/2605.31530v2,2605.31530v2,text-to-audio/music,新
2026-06-06,1,paper,mean_audio,FORTE: FOL-guided Optimal Refinement for Text-audio rEtrieval,https://arxiv.org/abs/2606.05812v1,2606.05812v1,text-to-audio/music,新且重要
2026-06-06,2,paper,mean_audio,"UAT: Unified Audio-Text Diffusion for Audio Generation, Editing, and Captioning",https://arxiv.org/abs/2606.04939v1,2606.04939v1,text-to-audio/music|caption/data,新且重要
2026-06-07,1,paper,mean_audio,UniVoice: A Unified Model for Speech and Singing Voice Generation,https://arxiv.org/abs/2606.05852v1,2606.05852v1,text-to-audio/music|flow/diffusion,新
2026-06-07,2,paper,mean_audio,Where Should Knowledge Enter? A Layered Framework for Knowledge Infusion in Multimodal Iterative Generative Mo,https://arxiv.org/abs/2606.06356v1,2606.06356v1,text-to-audio/music,新
2026-06-08,1,paper,mean_audio,Making the Most of Limited Data: Score-Aware Training for Text-to-Music Generation,https://arxiv.org/abs/2606.07387v1,2606.07387v1,text-to-audio/music|caption/data|evaluation,新且重要
2026-06-08,2,paper,karaoke_jp,Diff-VS: Efficient Audio-Aware Diffusion U-Net for Vocals Separation,https://arxiv.org/abs/2604.01120v2,2604.01120v2,karaoke-jp,待觀察
2026-06-08,1,paper,mean_audio,SURF: Separation via Unsupervised Remixing Flow,https://arxiv.org/abs/2606.04921v1,2606.04921v1,text-to-audio/music|flow/diffusion|evaluation,新
2026-06-08,2,paper,mean_audio,Drifting Models for Surrogate Flow Modeling,https://arxiv.org/abs/2606.07481v1,2606.07481v1,text-to-audio/music|flow/diffusion,新
2026-06-09,1,paper,mean_audio,FIGMA: Towards FIne-Grained Music retrievAl,https://arxiv.org/abs/2606.06615v1,2606.06615v1,text-to-audio/music|caption/data|evaluation,新且重要
2026-06-09,2,paper,mean_audio,Audio Imitator: Controlling Timbre and Tempo in Video2Audio Synthesis with Audio Reference,https://arxiv.org/abs/2606.07182v1,2606.07182v1,text-to-audio/music,新
2026-06-09,1,paper,mean_audio,"Audio-Oscar: A Multi-Agent System for Complex Audio Scene Generation, Orchestration, and Refinement",https://arxiv.org/abs/2606.07397v1,2606.07397v1,text-to-audio/music,新
2026-06-09,2,paper,mean_audio,Consistent-Inversion: Reverse Consistency Guidance for Structure-Preserving Visual Editing,https://arxiv.org/abs/2606.07145v1,2606.07145v1,text-to-audio/music,新
2026-06-10,1,paper,mean_audio,HoliDubber: Holistic Video Dubbing for Complex Acoustic Scenes via Text-Guided Audio Synthesis,https://arxiv.org/abs/2606.09098v1,2606.09098v1,text-to-audio/music|flow/diffusion|evaluation,新
2026-06-10,2,paper,mean_audio,SMC-ITA: Sequential Monte Carlo Inference-Time Alignment for Video-to-Audio Generation,https://arxiv.org/abs/2606.08393v1,2606.08393v1,text-to-audio/music|flow/diffusion,新
2026-06-10,1,paper,mean_audio,AHA-WAM:Asynchronous Horizon-Adaptive World-Action Modeling with Observation-Guided Context Routing,https://arxiv.org/abs/2606.09811v1,2606.09811v1,text-to-audio/music,新
2026-06-10,2,paper,mean_audio,CineDance: Towards Next-Generation Multi-Shot Long-Form Cinematic Audio-Video Generation,https://arxiv.org/abs/2606.09639v1,2606.09639v1,text-to-audio/music|caption/data|evaluation,新
2026-06-11,1,paper,mean_audio,Mean Flow Distillation: Robust and Stable Distillation for Flow Matching Models,https://arxiv.org/abs/2606.11155v1,2606.11155v1,text-to-audio/music|flow/diffusion,新且重要
2026-06-11,2,paper,mean_audio,DeRA-MOS: Optimizing Text-to-Music Evaluation via Decoupled Listwise Ranking and Modality Alignment,https://arxiv.org/abs/2606.10010v1,2606.10010v1,text-to-audio/music|evaluation,新且重要
2026-06-11,1,paper,mean_audio,Flow-DPPO: Divergence Proximal Policy Optimization for Flow Matching Models,https://arxiv.org/abs/2606.11025v1,2606.11025v1,text-to-audio/music|flow/diffusion,新
2026-06-11,2,paper,mean_audio,Lip Forcing: Few-Step Autoregressive Diffusion for Real-time Lip Synchronization,https://arxiv.org/abs/2606.11180v1,2606.11180v1,text-to-audio/music,新
2026-06-12,1,paper,mean_audio,DiffCold: A Diffusion-based Generative Model for Cold-Start Item Recommendation,https://arxiv.org/abs/2606.12245v1,2606.12245v1,text-to-audio/music,新
2026-06-12,2,paper,mean_audio,Flow Matching with In-Context Priors for Out-of-Distribution Brain Dynamics,https://arxiv.org/abs/2606.11833v1,2606.11833v1,text-to-audio/music|flow/diffusion|evaluation,新
2026-06-12,1,paper,mean_audio,Making Foresight Actionable: Repurposing Representation Alignment in World Action Models,https://arxiv.org/abs/2606.12217v1,2606.12217v1,text-to-audio/music,新
2026-06-12,2,paper,mean_audio,PianoKontext: Expressive Performance Rendering from Deadpan Context,https://arxiv.org/abs/2606.12282v1,2606.12282v1,text-to-audio/music|flow/diffusion,新
2026-06-13,1,paper,mean_audio,AudioX-Turbo: A Unified Framework for Efficient Anything-to-Audio Generation,https://arxiv.org/abs/2606.12555v1,2606.12555v1,text-to-audio/music|flow/diffusion|evaluation,新且重要
2026-06-13,2,paper,mean_audio,"$\texttt{WEAVER}$, Better, Faster, Longer: An Effective World Model for Robotic Manipulation",https://arxiv.org/abs/2606.13672v1,2606.13672v1,text-to-audio/music|flow/diffusion|evaluation,新
2026-06-13,1,paper,mean_audio,A2D2: Fine-Tuning Any-Length Discrete Diffusion for Adaptive Decoding,https://arxiv.org/abs/2606.13565v1,2606.13565v1,text-to-audio/music,新
2026-06-13,2,paper,mean_audio,Budget-Constrained Step-Level Diffusion Caching,https://arxiv.org/abs/2606.13496v1,2606.13496v1,text-to-audio/music,新
2026-06-14,1,paper,mean_audio,"Generative Modeling of Bach-Style Symbolic Music: A Comparative Study of Autoregressive, Latent-Variable, and Adversarial Approaches",https://arxiv.org/abs/2606.13626v1,2606.13626v1,text-to-audio/music,新
2026-06-14,2,paper,mean_audio,Improving Robotic Generalist Policies via Flow Reversal Steering,https://arxiv.org/abs/2606.13675v1,2606.13675v1,text-to-audio/music|flow/diffusion,新
2026-06-15,1,paper,mean_audio,PepALD: Macrocyclic Peptide Generation via Autoregressive Latent Diffusion,https://arxiv.org/abs/2606.14510v1,2606.14510v1,text-to-audio/music,新
